"idClinic";"clinicName";"address";"villageCode";"phoneNumber";"longitude";"latitude";"link";"firstlyAttendedBy";"socioeconomicLevel";"sizeLevel"
1;ADRIANA DUELO DIETISTAS;C/ ESCOLES PIES 49, PRINCIPAL;"0908019";;0;0;;1;1;3
2;C.S.I. ALACUÁS;PL. MÚSICO FRANCISCO TÁRREGA, S/N;"1746005";;0;0;;6;2;2
5;C.S. ALBORAYA;PL/ ELS FURS, S/N;"1746013";;0;0;;6;2;3
6;Alicante (Babel);C/ FERNANDO MADROÑAL, S/N;"1703014";;0;0;;6;0;0
7;Alicante (Cabo Huertas);C/ ARPÓN, S/N;"1703014";;0;0;;6;0;0
8;Alicante (Campoamor);PL. AMÉRICA, 4;"1703014";;0;0;;6;0;0
9;Alicante (Ciudad Jardín);C/ DEL CLOT, S/N;"1703014";;0;0;;6;0;0
10;Alicante (Florida);C/ FERNANDO MADROÑAL, 9-11;"1703014";;0;0;;6;0;0
11;Alicante (Hospital Provincial-Plá);C/ DOCTOR SAPENA, S/N;"1703014";;0;0;;6;0;0
12;Alicante (Juan XXIII);C/ BARITONO PACO LA TORRE, S/N;"1703014";;0;0;;6;0;0
13;ALIMMENTA;VIA AUGUSTA, 29;"0908019";;0;0;;5;1;3
14;ASNUTRI;CALLE ORENSE, 37 -2 B;"1228079";;0;0;;3;1;3
15;Alicante (Los Ángeles);C/ ISLA DE CUBA, S/N;"1703014";;0;0;;6;0;0
16;Alicante (Parque lo Morant);C/ MAESTRO ALONSO, 109;"1703014";;0;0;;6;0;0
17;ASSIR SANT FELIX;CRTA. DE BARCELONA 473;"0908187";;0;0;;1;2;3
18;ASSIR TORRENT DELS LLOPS;C/PUIG DEL RAVELL, 10;"0908114";;0;0;;5;2;3
19;BAMBOO;C/ MOSSÈN CAMIL ROSSELL 69;"0908245";;0;0;;1;1;3
20;C.S. ABRANTES;AVDA DE ABRANTES, 55;"1228079";;0;0;;3;3;1
21;C.S. ADELFAS;AVDA DE LA CIUDAD DE BARCELONA, 190;"1228079";;0;0;;2;1;2
22;Alicante (San Blas);C/ MAESTRO LATORRE, 9;"1703014";;0;0;;6;0;0
23;C.S. ALAMEDA;C/ ALAMEDA, 5;"1228079";;0;0;;2;2;2
24;C.S. ALAMEDA DE OSUNA;CALLE DE LA CARABELA, 7;"1228079";;0;0;;2;1;2
25;C.S. ALAMÍN;CALLE CIUDAD REAL S/N;"0719130";;0;0;;2;2;1
26;Alicante (Santa Faz);PL. SANTÍSIMA FAZ, 7;"1703014";;0;0;;6;0;0
27;C.S. ALCALÁ DE GUADAIRA;CALLE DE ALCALAÁ DE GUADAIRA, 4;"1228079";;0;0;;2;2;2
28;C.S. ALCALDE BARTOLOMÉ GONZÁLEZ;CALLE DE LA INDEPENDENCIA, 8;"1228092";;0;0;;3;2;2
29;C.S. ALDAIA;C/ ANTIC REGNE DE VALENCIA, S/N;"1746021";;0;0;;6;2;2
30;C.S. ALFAFAR;C/ DELS FURS, 23;"1746022";;0;0;;6;2;3
31;C.S. ALGETE;CALLE CARRACHEL, 1;"1228009";;0;0;;2;1;2
32;C.S. Algodonera;ROSENDO BRAVO GARCÍA, S/N;"0745165";;0;0;;3;0;0
33;C.S. ALICANTE;CALLE DE ALICANTE, 3;"1228058";;0;0;;3;2;2
34;C.S. ALMÀSSERA;AV. AUSIAS MARCH, 1;"1746032";;0;0;;6;2;3
35;C.S. ALMENDRALES;CALLE DE VISITACIÓN, 5;"1228079";;0;0;;3;3;1
36;C.S. ALOVERA;CARRETERA QUER AZUQUECA 1;"0719024";;0;0;;2;1;3
37;C.S. ALZIRA I;C/ LA PAZ, S/N;"1746017";;0;0;;6;2;3
38;C.S. ANDRÉS MELLADO;CALLE DE ANDRÉS MELLADO, 65;"1228079";;0;0;;2;1;2
39;C.S. ÁNGELA URIARTE;CALLE DE CANDILEJAS, 66;"1228079";;0;0;;2;2;1
40;C.S. AQUITANIA;CALLE DE AQUITANIA, 22;"1228079";;0;0;;2;2;2
41;C.S. ARANJUEZ;CALLE DE ABASTOS S/N;"1228013";;0;0;;3;2;1
42;C.S. ARAVACA;CALLE DE RIAZA, 5;"1228079";;0;0;;4;1;2
43;C.S. ARGANDA - FELICIDAD;CALLE DE LA FELICIDAD, 2;"1228014";;0;0;;2;1;2
44;C.S. ARGANDA DEL REY;CMNO DEL MOLINO S/N;"1228014";;0;0;;2;1;2
45;C.S. ARGÜELLES;CALLE DE QUINTANA, 11;"1228079";;0;0;;4;1;2
46;C.S. ARROYO DE LA VEGA;BULEV DE SALVADOR ALLENDE, 22;"1228006";;0;0;;4;1;3
47;C.S. ARROYO MEDIALEGUA;CALLE DEL ARROYO DE LA MEDIA LEGUA, 35;"1228079";;0;0;;2;2;1
48;C.S. ARTILLEROS;PASEO DE LOS ARTILLEROS, 31;"1228079";;0;0;;4;3;2
49;C.S. AVENIDA DE ARAGÓN;CALLE DE ALCALÁ, 425;"1228079";;0;0;;2;2;2
50;C.S. Ávila Estación;P DE LA ESTACIÓN 28;"0805019";;0;0;;4;0;0
51;C.S. Ávila Norte;C/ ARTURO DUPERIER, 4;"0805019";;0;0;;4;0;0
52;C.S. Ávila Sureste;JESÚS JIMÉNEZ 6;"0805019";;0;0;;4;0;0
53;C.S. Ávila Suroeste;C/ FRAY GIL, 10;"0805019";;0;0;;4;0;0
54;CAP BADÍA DEL VALLÉS;C/ BÉTICA S/N;"0908904";;0;0;;1;2;2
55;C.S. AZUQUECA DE HENARES;PROGRESO 1;"0719046";;0;0;;2;1;1
56;C.S. BARAJAS;AVDA DE LOGROÑO, 319;"1228079";;0;0;;2;2;2
57;C.S. BARCELONA;CALLE BARCELONA, 31;"1228092";;0;0;;3;2;1
58;CAP BARBERÁ DEL VALLÉS;C/ DE LA VERGE DE L'ASSUMPCIÓ (CANTONADA AMB C/ DEL PINTOR MURILLO);"0908252";;0;0;;1;2;2
59;C.S. BARRIO DEL CRISTO;C/ PUIG CAMPANA, S/N;"1746021";;0;0;;6;2;3
60;C.S. BARRIO DEL PILAR;CALLE DE FINISTERRE, 18;"1228079";;0;0;;4;1;1
61;C.S. BAVIERA;AVDA DE BAVIERA, 9;"1228079";;0;0;;4;1;2
62;CAP ROSA DELS VENTS;PLAZA ROSA DELS VENTS S/N;"0908252";;0;0;;1;1;2
63;C.S. BENAGUACIL;C/ VIRGEN DEL PILAR, S/N;"1746051";;0;0;;6;2;3
64;C.S. BENETÚSER;AV. PAIPORTA, S/N;"1746054";;0;0;;6;2;3
65;CONSULTORIO BENISANÓ;C/ VIRGEN DEL FUNDAMENTO, 21;"1746067";;0;0;;6;2;3
66;C.S. BENITA DE ÁVILA;CALLE DE BENITA ÁVILA, 26;"1228079";;0;0;;4;2;2
67;C.S. BÉTERA;AV. ESCULTOR RAMÓN INGLÉS, 52;"1746070";;0;0;;6;2;2
68;C.S. BOADILLA DEL MONTE CONDES DE BARCELONA;CALLE DE RONDA, 10;"1228022";;0;0;;3;1;2
69;C.S. BOADILLA DEL MONTE II - INFANTE DON LUIS DE BORBÓN;C/ SECUNDI ZUAZO 6;"1228022";;0;0;;3;2;1
70;C.S. BRÚJULA;CALLE BRÚJULA S/N;"1228148";;0;0;;2;2;2
71;C.S. Buenavista;AVDA. IRLANDA, S/N;"0745168";;0;0;;3;0;0
72;C.S. BUENOS AIRES;CALLE DE PÍO FELIPE, 26;"1228079";;0;0;;2;3;1
73;C.S. BUITRAGO DEL LOZOYA;PASEO DEL RIO LOZOYA, 10;"1228027";;0;0;;7;0;0
74;C.S. BUÑOL;AV. RAFAEL RIDAURA, 17;"1746077";;0;0;;6;2;3
75;C.S. BUSTARVIEJO;CALLE DE BUSTARVIEJO, 5;"1228079";;0;0;;2;1;2
76;C.S. CÁCERES;CALLE DE CÁCERES, 4;"1228079";;0;0;;2;2;3
77;C.S. CADALSO DE LOS VIDRIOS;CALLE DOCTOR MENÉNDEZ, 5;"1228031";;0;0;;7;0;0
78;C.S. CAMPAMENTO;CALLE DE MIRUEÑA, 5;"1228079";;0;0;;3;2;2
79;C.S. CAMPO DE LA PALOMA;CALLE DE VILLALOBOS, 14;"1228079";;0;0;;2;2;2
80;C.S. CAMPO REAL;CALLE ESCUELAS, 1;"1228033";;0;0;;7;0;0
81;C.S. CAMPOHERMOSO (HUMANES);AV. ESPAÑA, 104;"1228073";;0;0;;3;2;2
82;C.S. CANAL DE PANAMA;CALLE DE VERDAGUER Y GARCIA, 56;"1228079";;0;0;;2;1;1
83;C.S. CANILLEJAS;CALLE DE BOLTAÑA, 5;"1228079";;0;0;;2;2;1
84;C.S. CARABANCHEL ALTO;AVDA DE CARABANCHEL ALTO, 150;"1228079";;0;0;;3;2;2
85;C.S. CARAMUEL;CALLE DE FUENTEOVEJUNA, 17;"1228079";;0;0;;3;2;1
86;C.S. CARMEN CALZADO;CALLE CARMEN CALZADO, 14;"1228005";;0;0;;2;1;3
87;C.S. CASA DE CAMPO;CALLE DE LA RIBERA DEL MANZANARES, 113;"1228079";;0;0;;4;1;2
88;C.S. Barranquet - Perpetuo Socorro;C/ LLARG, 70;"1712040";;0;0;;6;0;0
89;C.S. Casalduch;C/ MAESTRO VIVES, 2-4;"1712040";;0;0;;6;0;0
90;C.S. CASTELLÓ;CALLE DE CASTELLÓ, 63;"1228079";;0;0;;2;1;3
91;C.S. CASTILLA LA NUEVA;CALLE TERUEL, 4;"1228058";;0;0;;3;2;2
92;C.S. CATARROJA;AV. RAMBLETA, S/N;"1746094";;0;0;;6;2;2
93;C.S. CEA BERMÚDEZ;CALLE DE CEA BERMÚDEZ, 10;"1228079";;0;0;;2;1;2
94;C.S. Centro;JOSÉ LUIS GALLO, 2;"0745165";;0;0;;3;0;0
95;C.S. CERCEDILLA;AVDA DE LOS TOREROS, 7;"1228038";;0;0;;7;0;0
96;C.S. CERRO ALMODÓVAR;CALLE DE FUENTESPINA, 2;"1228079";;0;0;;2;2;1
